mbid,artist,bio,listeners,playcount,similar_artist
6a12275f-4e18-4909-ba4d-7394224de7d2,Dizzy Wright,"La'Reonte Wright (born November 26, 1990) is an American rapper better known by his stage name Dizzy Wright. In December 2011 he signed to rapper Hopsin's independent record label Funk Volume. After signing he released his debut studio album SmokeOut Conversations in April 2012. He followed that with The First Agreement in December of that year, and then a mixtape The Golden Age in August 2013. All three projects managed to chart in the top 50 of the Billboard Top R&B/Hip-Hop Albums chart. Read more on Last.fm",143015,1841107,Jarren Benton
5aa1be36-7f9b-4a6a-931e-d831e25c6247,Diaz Grimm, Read more on Last.fm,2288,13599,PNC
27fb68a3-10b6-4dc7-afe5-9428412dcc60,Stacy Barthe,"Packing a background as exotic as it is homegrown, Atlanta-based Haitian/Dominican songwriter Stacy Barthe has earned a startstudded client list in her short time on the scene.

With credits for the likes of Black Eyed Peas, Britney Spears, Keri Hilson, Enrique Iglesias, New Kids on the Block, Ciara, Tiffany Evans, Cassie, and Diddy to name a few, Barthe has become one of the most indemand young songwriting talents. So much so that Universal Music Publishing took notice of her work, and signed her to their already impressive assembly. Read more on Last.fm",22060,142335,Joi Starr
d2b870c8-da5c-4812-b0dd-59f8c198671f,Cliff Notez, Read more on Last.fm,634,4551,oompa
a5cd23ce-eb85-4fe0-bddd-f00f8cd6640a,Zxmyr, Read more on Last.fm,18111,274704,Toser One
0a3a9755-6bd2-4bc1-a173-d54d45056382,JURI,"There are at least four artistes called Juri:

1) Juri is a German rap artist. His most recent album, Bratans aus Favelas reached the #1 position on the official German album charts.

2) Juri is a Finnish musician who makes ambient and atmospheric electronic music.

3) Juri is a Japanese singer and pianist. She is a member of 黒百合姉妹 (Kuroyuri Shimai) alongside Lisa. Her song ""薔薇の失墜-SANCTUS-"" appeared on the Angel Sanctuary Audio Drama soundtrack released in 1999 Read more on Last.fm",20901,480994,Herzog
3af2b07e-c91c-4160-9bda-f0b9e3144ed3,Texta,"Texta is an Austrian Hip Hop group consisting of the MCs Flip (Philipp Kroll), Huckey (Harald Renner), Laima (Klaus Laimer), Skero (Martin Skerwald) and DJ Dan (Daniel Reisinger). Existing since 1993 they have released 8 albums so far: Gediegen (1997), Gegenüber (1999), Blickwinkel (2002), So oder so (2004), Paroli (2007), Grotesk (2011) and Nichts dagegen, aber (2016). After the death of rapper Huckey in 2018, who was one of the founding members of the band, it was unclear if Texta would continue making music. Read more on Last.fm",35360,487442,Main Concept
36d55954-5105-4a92-a577-ea4163008d36,Reke, Read more on Last.fm,3599,38634,Prieto Gang
f30340bc-4746-42aa-b62a-fe2473a31bc3,STL GLD,"STL GLD (Moe Pope x The Arcitype)

Lyricist Moe Pope has received the Boston Music Awards honor as Best Hip-Hop Artist for two years running. On his newest venture, he collaborates with producer The Arcitype for a project they call STL GLD. Their album My Monday Morning Music (MMMM) comes out via AR Classic/Brick Records on August 12th.

About Moe Pope: Moe Pope is an indie hip-hop artist, songwriter and contemporary painter. As a lyricist, Pope chronicles the stories of his life and his community by touching upon subjects like fatherhood Read more on Last.fm",3530,26853,ILLA GHEE
fcb49118-d8b2-48a1-8f99-a01d3aeb4749,Georgia B., Read more on Last.fm,43,108,Citizen Kay
