artist,genre,track_name,year
Noriel,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Baby Rasta,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Juanka,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Ñengo Flow,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Pacho,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Nanpa Básico,hip-hop,Poeta,2016
Alka Produce,hip-hop,Poeta,2016
Almighty,hip-hop,Panda,2016
Kulto Kultibo,hip-hop,En venta_ ¡No!,2016
Kase.O,hip-hop,Intro (El Círculo),2016
Kase.O,hip-hop,Triste,2016
Métricas Frías,hip-hop,Dando Saltos,2016
Doble Porcion,hip-hop,Dando Saltos,2016
Rapsusklei,hip-hop,60 Veces por Minuto,2016
fernando costa,hip-hop,Niño Antipático,2016
Kidd Keo,hip-hop,Stress,2016
MHD,hip-hop,Afro Trap Pt. 5 (Ngatie Abedi),2016
LFAM,hip-hop,Parador de Valdesqui,2016
Dudu,hip-hop,Parador de Valdesqui,2016
Kanye West,hip-hop,FML,2016
PNL,hip-hop,Naha,2016
Porta,hip-hop,Dragon Ball Rap 1.5,2016
Kase.O,hip-hop,Guapo Tarde,2016
Drake,hip-hop,U With Me?,2016
Drake,hip-hop,Weston Road Flows,2016
J. Cole,hip-hop,Neighbors,2016
Kanye West,hip-hop,I Love Kanye,2016
Métricas Frías,hip-hop,6 30,2016
Doble Porcion,hip-hop,6 30,2016
J. Cole,hip-hop,Change,2016
Jaloner,hip-hop,La ley del más fuerte,2016
Dabeunotres,hip-hop,La ley del más fuerte,2016
Myke Towers,hip-hop,Contra Quien Sea,2016
Ayax y Prok,hip-hop,"Conejo blanco (feat. Hard GZ, Garolo)",2016
Garolo,hip-hop,"Conejo blanco (feat. Hard GZ, Garolo)",2016
Hard GZ,hip-hop,"Conejo blanco (feat. Hard GZ, Garolo)",2016
Hielo Beats,hip-hop,Cherokees,2016
Charlie Hijos Bastardos,hip-hop,Cherokees,2016
Crudo Means Raw,hip-hop,Hubiera,2016
Cráneo,hip-hop,Cristal,2016
Made in M,hip-hop,Cristal,2016
BxRod,hip-hop,Cristal,2016
Drake,hip-hop,Childs Play,2016
Drake,hip-hop,Views,2016
Soprano,hip-hop,Marseille c'est... (feat. Jul),2016
Jul,hip-hop,Marseille c'est... (feat. Jul),2016
6LACK,hip-hop,PRBLMS,2016
Drake,hip-hop,Still Here,2016
AMBKOR,hip-hop,Buenas noches,2016
Piter-G,hip-hop,Carta de Sinceridad,2016
Porta,hip-hop,Carta de Sinceridad,2016
Kaze,hip-hop,No Encajes,2016
Hopsin,hip-hop,Ill Mind of Hopsin 8,2016
PNL,hip-hop,Luz de Luna,2016
Duki,hip-hop,No Vendo Trap,2016
Myke Towers,hip-hop,Habitación 420,2016
Kidd Keo,hip-hop,The Lil Kid,2016
Doble Porcion,hip-hop,Manzanas a la Vuelta,2016
Métricas Frías,hip-hop,Manzanas a la Vuelta,2016
Mañas Ru-Fino,hip-hop,Manzanas a la Vuelta,2016
Kanye West,hip-hop,Feedback,2016
PARTYNEXTDOOR,hip-hop,High Hopes,2016
Ninho,hip-hop,Dis-moi que tu m'aimes,2016
Nanpa Básico,hip-hop,Sólo Tú,2016
Santa RM,hip-hop,Sólo Tú,2016
Future,hip-hop,News or Something,2016
Meek Mill,hip-hop,Litty (feat. Tory Lanez),2016
Sound M.O.B.,hip-hop,Litty (feat. Tory Lanez),2016
Tory Lanez,hip-hop,Litty (feat. Tory Lanez),2016
Young Thug,hip-hop,With Them,2016
Sfera Ebbasta,hip-hop,Bang Bang,2016
Poldoore,hip-hop,Ain't No Sunshine,2016
Drake,hip-hop,Hotline Bling,2016
Kanye West,hip-hop,Champions,2016
Gucci Mane,hip-hop,Champions,2016
Big Sean,hip-hop,Champions,2016
2 Chainz,hip-hop,Champions,2016
Travis Scott,hip-hop,Champions,2016
Yo Gotti,hip-hop,Champions,2016
Quavo,hip-hop,Champions,2016
Desiigner,hip-hop,Champions,2016
Cartel De Santa,hip-hop,Leve,2016
Kase.O,hip-hop,Viejos Ciegos - Remix,2016
Xhelazz,hip-hop,Viejos Ciegos - Remix,2016
Sho-Hai,hip-hop,Viejos Ciegos - Remix,2016
Kendrick Lamar,hip-hop,untitled 08 | 09.06.2014.,2016
Kanye West,hip-hop,Highlights,2016
Cartel De Santa,hip-hop,Culón Culito,2016
Sfera Ebbasta,hip-hop,Visiera A Becco,2016
Crack Family,hip-hop,Hoy por Hoy,2016
De La Soul,hip-hop,Pain,2016
Snoop Dogg,hip-hop,Pain,2016
Anuel AA,hip-hop,Las Cosas No Están Como Antes,2016
Rapsusklei,hip-hop,Los Ojos Cerrados,2016
Sharif,hip-hop,Los Ojos Cerrados,2016
Sr. Wilson,hip-hop,Los Ojos Cerrados,2016
Beret,hip-hop,Hoy,2016
Kase.O,hip-hop,Interludio Quieren Copiar,2016
Beret,hip-hop,Ceniza,2016
Isaiah Rashad,hip-hop,Wat's Wrong (feat. Zacari & Kendrick Lamar),2016
Zacari,hip-hop,Wat's Wrong (feat. Zacari & Kendrick Lamar),2016
Kendrick Lamar,hip-hop,Wat's Wrong (feat. Zacari & Kendrick Lamar),2016
Jul,hip-hop,Amnésia,2016
PNL,hip-hop,Bambina,2016
Jul,hip-hop,C'est le son de la gratte,2016
Kanye West,hip-hop,Real Friends,2016
Drake,hip-hop,Hype,2016
Myke Towers,hip-hop,Interesante,2016
Lytos,hip-hop,Déjame Hablar Contigo,2016
Beret,hip-hop,Mano Fátima,2016
A Boogie Wit da Hoodie,hip-hop,D.T.B. (Interlude),2016
Kanye West,hip-hop,Freestyle 4,2016
Drake,hip-hop,Grammys,2016
Future,hip-hop,Grammys,2016
Booba,hip-hop,DKR,2016
Fat Joe,hip-hop,All The Way Up (Remix),2016
Remy Ma,hip-hop,All The Way Up (Remix),2016
JAY-Z,hip-hop,All The Way Up (Remix),2016
French Montana,hip-hop,All The Way Up (Remix),2016
InfaRed,hip-hop,All The Way Up (Remix),2016
Zof Ziro,hip-hop,Ojos de Diablo,2016
ZetaZeta,hip-hop,Ojos de Diablo,2016
Ali Aka Mind,hip-hop,Nada Más,2016
PNL,hip-hop,DA,2016
Canserbero,hip-hop,No no,2016
NicoJP,hip-hop,No no,2016
Gran Calibre,hip-hop,De Tripas Corazón,2016
NF,hip-hop,Therapy Session,2016
Mac Miller,hip-hop,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",2016
Kendrick Lamar,hip-hop,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",2016
Kendrick Lamar,hip-hop,untitled 06 | 06.30.2014.,2016
Kendrick Lamar,hip-hop,untitled 02 | 06.23.2014.,2016
NF,hip-hop,Oh Lord,2016
Métricas Frías,hip-hop,Mil y una Vez,2016
Doble Porcion,hip-hop,Mil y una Vez,2016
Alvaro Diaz,hip-hop,Piso 13 (Mia Wallace),2016
Almighty,hip-hop,Quien Yo Soy,2016
Porta,hip-hop,Bruce Wayne,2016
Crudo Means Raw,hip-hop,Horas Extras,2016
DJ Dmoe,hip-hop,Horas Extras,2016
Young Thug,hip-hop,"Guwop (feat. Quavo, Offset and Young Scooter)",2016
Quavo,hip-hop,"Guwop (feat. Quavo, Offset and Young Scooter)",2016
Offset,hip-hop,"Guwop (feat. Quavo, Offset and Young Scooter)",2016
Young Scooter,hip-hop,"Guwop (feat. Quavo, Offset and Young Scooter)",2016
Drake,hip-hop,Summer Sixteen,2016
Playboi Carti,hip-hop,"Plug (feat. Kodak Black, Rich The Kid)",2016
Rich The Kid,hip-hop,"Plug (feat. Kodak Black, Rich The Kid)",2016
Kodak Black,hip-hop,"Plug (feat. Kodak Black, Rich The Kid)",2016
Bonez MC,hip-hop,Ohne mein Team,2016
RAF Camora,hip-hop,Ohne mein Team,2016
Maxwell,hip-hop,Ohne mein Team,2016
Big L,hip-hop,98 Freestyle,2016
La Cueva Mokoya,hip-hop,A las 3 de la Mañana,2016
Al2 El Aldeano,hip-hop,A las 3 de la Mañana,2016
Silvito El Libre,hip-hop,A las 3 de la Mañana,2016
Cráneo,hip-hop,Marte,2016
Made in M,hip-hop,Marte,2016
Métricas Frías,hip-hop,Mala Hierba,2016
Doble Porcion,hip-hop,Mala Hierba,2016
Piter-G,hip-hop,Sigue Soñando,2016
Damso,hip-hop,Périscope,2016
Alvaro Diaz,hip-hop,Tortura China,2016
Cartel De Santa,hip-hop,Mucha Marihuana,2016
J. Cole,hip-hop,Immortal,2016
PNL,hip-hop,Mira,2016
PNL,hip-hop,Je t’haine,2016
J. Cole,hip-hop,Deja Vu,2016
Kendrick Lamar,hip-hop,untitled 05 | 09.21.2014.,2016
Muslim,hip-hop,L'Ghoul,2016
Dj Van,hip-hop,L'Ghoul,2016
Crudo Means Raw,hip-hop,Benny Blanco,2016
Cosculluela,hip-hop,Triste recuerdo (feat. Árcangel & De La Ghetto),2016
Arcángel,hip-hop,Triste recuerdo (feat. Árcangel & De La Ghetto),2016
De La Ghetto,hip-hop,Triste recuerdo (feat. Árcangel & De La Ghetto),2016
Lil Uzi Vert,hip-hop,Seven Million (feat. Future),2016
Future,hip-hop,Seven Million (feat. Future),2016
BONES,hip-hop,SleepMode,2016
Ninho,hip-hop,Malcolm,2016
Big L,hip-hop,Size 'Em up,2016
Hooss,hip-hop,La zone,2016
Jul,hip-hop,La zone,2016
Post Malone,hip-hop,Money Made Me Do It,2016
2 Chainz,hip-hop,Money Made Me Do It,2016
Farruko,hip-hop,Mas Dinero Mas Problemas,2016
Doble Porcion,hip-hop,Hommies,2016
Métricas Frías,hip-hop,Hommies,2016
Mañas Ru-Fino,hip-hop,Hommies,2016
Crudo Means Raw,hip-hop,Hommies,2016
Emapea,hip-hop,Jazzy,2016
Kanye West,hip-hop,Siiiiiiiiilver Surffffeeeeer Intermission,2016
J. Cole,hip-hop,False Prophets,2016
Kalash Criminel,hip-hop,Sale sonorité,2016
Rilès,hip-hop,Should I,2016
Future,hip-hop,Inside The Mattress,2016
Hungria,hip-hop,Lembranças,2016
Laylow,hip-hop,10',2016
Doble Porcion,hip-hop,Nido de Cucos,2016
Métricas Frías,hip-hop,Nido de Cucos,2016
Mañas Ru-Fino,hip-hop,Nido de Cucos,2016
Granuja,hip-hop,Nido de Cucos,2016
Yung Lean,hip-hop,Pearl Fountain,2016
Black Kray,hip-hop,Pearl Fountain,2016
Bladee,hip-hop,Pearl Fountain,2016
Métricas Frías,hip-hop,El Silencio Es Mio,2016
Doble Porcion,hip-hop,El Silencio Es Mio,2016
Big L,hip-hop,Flamboyant,2016
Métricas Frías,hip-hop,De Memoria,2016
Doble Porcion,hip-hop,De Memoria,2016
A Tribe Called Quest,hip-hop,We The People....,2016
Norick,hip-hop,Nunca es Igual,2016
Damso,hip-hop,Paris c'est loin,2016
Booba,hip-hop,Paris c'est loin,2016
Salmo,hip-hop,1984,2016
6LACK,hip-hop,Never Know,2016
Young Thug,hip-hop,Future Swag,2016
Nekfeu,hip-hop,Galatée,2016
Big L,hip-hop,Ebonics (Criminal Slang),2016
Kent Jones,hip-hop,Don't Mind (feat. Pitbull & Lil Wayne) - Remix,2016
Pitbull,hip-hop,Don't Mind (feat. Pitbull & Lil Wayne) - Remix,2016
Lil Wayne,hip-hop,Don't Mind (feat. Pitbull & Lil Wayne) - Remix,2016
Adán Cruz,hip-hop,Astronauta de Tus Lunares,2016
Young Thug,hip-hop,Hercules,2016
Cartel De Santa,hip-hop,Desde Cuándo,2016
Rilès,hip-hop,Brothers,2016
Kalash,hip-hop,Rouge et bleu,2016
Booba,hip-hop,Rouge et bleu,2016
MadeinTYO,hip-hop,I Want (feat. 2 Chainz),2016
2 Chainz,hip-hop,I Want (feat. 2 Chainz),2016
Scrop,hip-hop,Díganle Que Morí,2016
Doble Porcion,hip-hop,L. O. N. D. R. E. S.,2016
Métricas Frías,hip-hop,L. O. N. D. R. E. S.,2016
Mañas Ru-Fino,hip-hop,L. O. N. D. R. E. S.,2016
DJ Destroy,hip-hop,L. O. N. D. R. E. S.,2016
